"global_category","indicator_name","value","count","Extreme events not mentioned","Mentioned: no specified","Mentioned: (flash) floods"," droughts","#N/A"," storms"," extreme heat/heat waves"," forest fires","Mentioned: droughts"," heavy precipitation","Mentioned: storms"," landslides"," avalanges"," heat waves"," avalanches"," glacial lake outburst floods"," vector born diseases/epidemics"," hail"," el Nino/la Nina","Mentioned: extreme heat/heat waves"," cold waves","Mentioned: floods","Mentioned: not specified","Extreme weather mentioned as climate risk (rainstorms"," floods"," dust storms)","Extreme weather not mentioned"," vector-borne diseases","Mentioned: el Nino/la Nina","Mentioned: heat and cold waves"," storm surge","Mentioned: increasingly frequent and intense rainfall and extreme temperatures","Mentioned: will affect tourism"," fisheries","No future losses indicated","GlobalScore"
"Adaptation","Climate risks: extreme weather","Extreme events not mentioned",160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Climate risks: extreme weather","Mentioned: no specified",56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts",33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","#N/A",28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms",26,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, extreme heat/heat waves",4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms, forest fires",4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Climate risks: extreme weather","Mentioned: droughts, heavy precipitation",4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","Mentioned: storms",4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, heavy precipitation",2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, landslides",2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, landslides, avalanges",2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms, extreme heat/heat waves",2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms, heat waves, avalanches, glacial lake outburst floods",2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms, heavy precipitation",2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms, heavy precipitation, vector born diseases/epidemics",2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
