"global_category","indicator_name","value","count","Yes","N/A","No","No. ""The Australian Government is investing in climate adaptation to build resilience and adapt to the challenges of a changing climate"," both domestically and in our region. At time of submission"," our domestic investments include over $15 billion in natural resource management"," water infrastructure"," drought and disaster resilience and recovery"," including $369 million in climate science and adaptation research and services.""","Yes. ""Funds Multi-laterals"," in particular the Green Climate Fund""","Yes.<br>""Financial support"" is listed as a requirement for adaptation targets.","Yes.<br>""The Russian Federation intends to continue its voluntary participation in the provision of international assistance to eliminate the consequences of natural disasters"," including natural and climatic ones"," as well as in financing the activities of the Trust Fund “Russian Federation - United Nations Development Program” (within the framework of the thematic area “Climate window ”)"," the Green Climate Fund and other institutions for sustainable development.""","Yes<br>""Armenia anticipates being able to access adequate financial"," technological"," and capacity building support to mitigate and adapt to climate change;""","Yes<br>""As all such activities need to be financed and proper incentives need to be provided"," the government has formulated and operationalized a Climate Fiscal Framework (CFF)"," providing principles and tools for climate fiscal policy-making (CFP).""","Yes<br>""Fiji’s national security depends on multilateral actions to address the climate crisis and support vulnerable countries in taking the requisite adaptation actions with appropriate technologies"," capacity and finance.""","Yes<br>""it is important to plan in detail the adaptation measures (short-term"," medium-term and long-term)"," the method of financing the implementation of the proposed measures and the institutions for their implementation.""","Yes<br>""Kenya intends to mobilize domestic resources to cater for 10% of the adaptation cost"," while 90% of the adaptation cost will require international support in form of finance"," technology development and transfer"," and capacity building.""","Yes<br>""Resources required to implement the NDC actions over the next 10 years stand at: Adaptation US$13","395","880","000""","Yes<br>Please visit Appendix 2: Detailed Adaptation Actions for specific information","GlobalScore"
"Adaptation","Financial Support","Yes",238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Financial Support","N/A",49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Financial Support","Not Specified",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Financial Support","No",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Financial Support","No. ""The Australian Government is investing in climate adaptation to build resilience and adapt to the challenges of a changing climate, both domestically and in our region. At time of submission, our domestic investments include over $15 billion in natural resource management, water infrastructure, drought and disaster resilience and recovery, including $369 million in climate science and adaptation research and services.""",1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Adaptation","Financial Support","Yes. ""Funds Multi-laterals, in particular the Green Climate Fund""",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Financial Support","Yes.<br>""Financial support"" is listed as a requirement for adaptation targets.",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Financial Support","Yes.<br>""The Russian Federation intends to continue its voluntary participation in the provision of international assistance to eliminate the consequences of natural disasters, including natural and climatic ones, as well as in financing the activities of the Trust Fund “Russian Federation - United Nations Development Program” (within the framework of the thematic area “Climate window ”), the Green Climate Fund and other institutions for sustainable development.""",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Financial Support","Yes<br>""Armenia anticipates being able to access adequate financial, technological, and capacity building support to mitigate and adapt to climate change;""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Financial Support","Yes<br>""As all such activities need to be financed and proper incentives need to be provided, the government has formulated and operationalized a Climate Fiscal Framework (CFF), providing principles and tools for climate fiscal policy-making (CFP).""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Financial Support","Yes<br>""Fiji’s national security depends on multilateral actions to address the climate crisis and support vulnerable countries in taking the requisite adaptation actions with appropriate technologies, capacity and finance.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Financial Support","Yes<br>""it is important to plan in detail the adaptation measures (short-term, medium-term and long-term), the method of financing the implementation of the proposed measures and the institutions for their implementation.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"Adaptation","Financial Support","Yes<br>""Kenya intends to mobilize domestic resources to cater for 10% of the adaptation cost, while 90% of the adaptation cost will require international support in form of finance, technology development and transfer, and capacity building.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5
"Adaptation","Financial Support","Yes<br>""Resources required to implement the NDC actions over the next 10 years stand at: Adaptation US$13,395,880,000""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,5
"Adaptation","Financial Support","Yes<br>Please visit Appendix 2: Detailed Adaptation Actions for specific information",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
