"global_category","indicator_name","value","count","-40%","At least -55%","-30%","-0.5","-35%","-20%","-23%","-25%","-26% to -28%","-13%","-24%","-47%","-0.21","-0.3","-0.37","-0.392","-10%","-15%","-25% to -35%","-26%","-28%","-32%","-43%","-44%","-60% (from the energy sector)","+20% to +31%","n/a","-0.35","-0.43","-0.45","-25% to -30%","-35% (unconditional) |  -50% to 57% (conditional)","-37%","-50%","-50% to -52%","-51% (total emissions)","-55%","-7%","-70% (unconditional) and up to -88% (conditional)","-78%","-82% (net emissions)","26-28%","At least -45%","at least -50%","Unconditional: -12.8% (excluding GHG sinks"," compared to 2014)"," which is equal to -33.2%  (excluding GHG sinks"," compared to 1990)<br>Conditional: -17.7%( excluding GHG sinks"," which is equal to -36.8% (excluding GHG sinks"," compared to 1990)","Unconditional: -50%% (excluding GHG sinks"," which is equal to -61.7%  (excluding GHG sinks"," compared to 1990)<br>Conditional: -55%( excluding GHG sinks"," which is equal to -65.6% (excluding GHG sinks","GlobalScore"
"Mitigation","Emission reduction compared to base year (%)","-40%",67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emission reduction compared to base year (%)","At least -55%",28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Emission reduction compared to base year (%)","-30%",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emission reduction compared to base year (%)","-0.5",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emission reduction compared to base year (%)","-35%",6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emission reduction compared to base year (%)","-20%",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emission reduction compared to base year (%)","-23%",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emission reduction compared to base year (%)","-25%",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emission reduction compared to base year (%)","-26% to -28%",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Emission reduction compared to base year (%)","-13%",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
