"global_category","indicator_name","value","count","The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>","According to the information contained in its first biennial report"," Belarus"," taking into account its national circumstances and commitments"," in order to prevent climate change"," has increased its quantified emission limitation [commitment?] for the second commitment period of the Kyoto Protocol to 12 per cent as compared with the 1990 emission level. <br>The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>","Croatia communicated a temporary target of a 5 per cent emission reduction by 2020 compared with 1990 levels"," with its level of emissions for 1990 (the base year) calculated in accordance with decision 7/CP.12. Upon the accession of Croatia to the European Union"," the Croatian target will be replaced by a relevant arrangement in line with and as part of the European Union mitigation effort.<br>The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>","Japan initially communicated a target of a 25 per cent emission reduction by 2020 compared with 1990 levels.","Kazakhstan initially communicated a target of a 15 per cent emission reduction compared with 1992 levels. <br>Kazakhstan's latest submission to update its base year is contained in document FCCC/AWGLCA/2012/MISC.1.<br /> *** Kazakhstan is an Annex I Party for the purposes of the Kyoto Protocol in accordance with Article 1"," paragraph 7"," of the Kyoto Protocol"," but is not an Annex I Party for the purposes of the Convention.<br /> The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>","New Zealand initially communicated a conditional GHG emission reduction target of between 10 and 20 per cent below 1990 levels by 2020.","The 20 per cent target assumes that the rules governing the Kyoto Protocol will continue to apply after 2012 and that there is an extension of decision 14/CP.7. The 30 per cent target is to be achieved in a joint effort with the EU"," with Iceland adhering fully to the EU Climate and Energy Package"," as part of a global and comprehensive agreement for the period beyond 2012"," provided that other developed countries commit themselves to comparable emission reductions and that developing countries contribute adequately according to their responsibilities and respective capabilities. Iceland expects joint target setting with other Parties (in accordance with Article 4 of the Kyoto Protocol"," or a similar arrangement)<br>The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>","The link to the original communication provided by UNFCCC <a href=""http://unfccc.int/cooperation_support/nama/items/6982.php"" target=""_blank"">http://unfccc.int/cooperation_support/nama/items/6982.php</a>could not be opened.","The Russian Federation communicated to the secretariat information on its quantified economy-wide emission reduction target in Russian"," which can be found on the UNFCCC website. It also provided an unofficial translation of its submission in English and an edited version of this translation is included in this document.<br /> ** In its letter to the UNFCCC Executive Secretary of 8 December 2010"," the Russian Federation reconfirmed its readiness to fulfil commitments within the framework of the Copenhagen Accord to reduce GHG emissions in the post-2012 period. In this context"," the Russian Federation intends to fulfil such commitments by participating in a new comprehensive legally binding agreement"," which should be developed before the end of the first commitment period of the Kyoto Protocol.","While specific NAMAs were not identified in the submission"," an intention to develop NAMAs was put forwrad.","GlobalScore"
"Mitigation","Additional information, explanation, or context as relevant","The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Additional information, explanation, or context as relevant","According to the information contained in its first biennial report, Belarus, taking into account its national circumstances and commitments, in order to prevent climate change, has increased its quantified emission limitation [commitment?] for the second commitment period of the Kyoto Protocol to 12 per cent as compared with the 1990 emission level. <br>The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Mitigation","Additional information, explanation, or context as relevant","Croatia communicated a temporary target of a 5 per cent emission reduction by 2020 compared with 1990 levels, with its level of emissions for 1990 (the base year) calculated in accordance with decision 7/CP.12. Upon the accession of Croatia to the European Union, the Croatian target will be replaced by a relevant arrangement in line with and as part of the European Union mitigation effort.<br>The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>",1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Mitigation","Additional information, explanation, or context as relevant","Japan initially communicated a target of a 25 per cent emission reduction by 2020 compared with 1990 levels.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Additional information, explanation, or context as relevant","Kazakhstan initially communicated a target of a 15 per cent emission reduction compared with 1992 levels. <br>Kazakhstan's latest submission to update its base year is contained in document FCCC/AWGLCA/2012/MISC.1.<br /> *** Kazakhstan is an Annex I Party for the purposes of the Kyoto Protocol in accordance with Article 1, paragraph 7, of the Kyoto Protocol, but is not an Annex I Party for the purposes of the Convention.<br /> The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>",1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Mitigation","Additional information, explanation, or context as relevant","New Zealand initially communicated a conditional GHG emission reduction target of between 10 and 20 per cent below 1990 levels by 2020.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Additional information, explanation, or context as relevant","The 20 per cent target assumes that the rules governing the Kyoto Protocol will continue to apply after 2012 and that there is an extension of decision 14/CP.7. The 30 per cent target is to be achieved in a joint effort with the EU, with Iceland adhering fully to the EU Climate and Energy Package, as part of a global and comprehensive agreement for the period beyond 2012, provided that other developed countries commit themselves to comparable emission reductions and that developing countries contribute adequately according to their responsibilities and respective capabilities. Iceland expects joint target setting with other Parties (in accordance with Article 4 of the Kyoto Protocol, or a similar arrangement)<br>The pledge is considered as a &ldquo;Multi-year target&rdquo; to be consistent with the second commitment period (CP2) from 1 January 2013 to 31 December 2020 under the <a href=""http://unfccc.int/resource/docs/2012/cmp8/eng/13a01.pdf"" target=""_blank"">Kyoto Protocol</a>",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,7
"Mitigation","Additional information, explanation, or context as relevant","The link to the original communication provided by UNFCCC <a href=""http://unfccc.int/cooperation_support/nama/items/6982.php"" target=""_blank"">http://unfccc.int/cooperation_support/nama/items/6982.php</a>could not be opened.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Mitigation","Additional information, explanation, or context as relevant","The Russian Federation communicated to the secretariat information on its quantified economy-wide emission reduction target in Russian, which can be found on the UNFCCC website. It also provided an unofficial translation of its submission in English and an edited version of this translation is included in this document.<br /> ** In its letter to the UNFCCC Executive Secretary of 8 December 2010, the Russian Federation reconfirmed its readiness to fulfil commitments within the framework of the Copenhagen Accord to reduce GHG emissions in the post-2012 period. In this context, the Russian Federation intends to fulfil such commitments by participating in a new comprehensive legally binding agreement, which should be developed before the end of the first commitment period of the Kyoto Protocol.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,6
"Mitigation","Additional information, explanation, or context as relevant","While specific NAMAs were not identified in the submission, an intention to develop NAMAs was put forwrad.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
