"global_category","indicator_name","value","count","Yes","N/A","No","Yes. <br>""The country has identified 132 needs regarding financing"," capacity building/strengthening"," and technology development and transfer (presented in Annex A4). "" See Annex A3 and A4 in the original text for more information.","Yes. <br>""To achieve the conditional targets"," Nepal anticipates financial"," technological and capacity-building support from global funds such as the Green Climate Fund"," Global Environment Facility"," Adaptation Fund"," Least Developed Countries Fund and bilateral/multilateral agencies and development partners.""","Yes.<br>""Consensus on the kind of trees to be planted"," the land on which the trees are to be planted"," and responsibility for planting the trees.""","Yes.<br>""Rainwater harvesting in dams along with artificial injection technology is being used to enhance available water resources.""<br>""Public infrastructure is being continuously upgraded and enhanced to harness benefits of new technologies and practices. Fog detection and warning systems are in use"," and efforts are being made to incorporate climate-induced hazards in road safety plans.""","Yes.<br>""Technical support for the downscaling of global and regional climate impact and vulnerability assessments to the national and local scale in a way that can support local and sector planning including the identification of practical adaptation measures.""","Yes.<br>""Technologies and necessary services aimed at reducing or avoiding severe alterations"," losses and damages"," triggered by hazards associated with climate change in populations"," livelihoods"," ecosystems"," basins"," territories"," infrastructure"," goods and services""","Yes.<br>""The Russian Federation carries out joint projects"," including scientific and technical cooperation in the field of climate"," environmental protection"," resource and energy conservation"," with various developing countries"," including the most vulnerable to the effects of climate change. Such joint projects are most actively developed within the framework of cooperation with the CIS countries"," BRICS and ASEAN.""","Yes.<br>""Water technologies for savings"," recycling"," irrigation and sustainable management for household"," agriculture and industrial purposes.""","Yes<br>""Armenia anticipates being able to access adequate financial"," technological"," and capacity building support to mitigate and adapt to climate change;""","Yes<br>""Fiji’s national security depends on multilateral actions to address the climate crisis and support vulnerable countries in taking the requisite adaptation actions with appropriate technologies"," capacity and finance.""","Yes<br>""Kenya intends to mobilize domestic resources to cater for 10% of the adaptation cost"," while 90% of the adaptation cost will require international support in form of finance"," technology development and transfer"," and capacity building.""","Yes<br>""Updating or adding information on gaps and barriers (policy"," institutional arrangements"," resource mobilization"," training"," and capacity building)"" <br>""Adding actions or measures to strengthen implementation (policy"," and capacity building and technology)""","Yes<br>Please visit Appendix 2: Detailed Adaptation Actions for specific information","GlobalScore"
"Adaptation","Technology Transfer","Yes",229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Technology Transfer","N/A",54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Technology Transfer","Not Specified",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Technology Transfer","No",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Technology Transfer","Yes. <br>""The country has identified 132 needs regarding financing, capacity building/strengthening, and technology development and transfer (presented in Annex A4). "" See Annex A3 and A4 in the original text for more information.",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
"Adaptation","Technology Transfer","Yes. <br>""To achieve the conditional targets, Nepal anticipates financial, technological and capacity-building support from global funds such as the Green Climate Fund, Global Environment Facility, Adaptation Fund, Least Developed Countries Fund and bilateral/multilateral agencies and development partners.""",1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Adaptation","Technology Transfer","Yes.<br>""Consensus on the kind of trees to be planted, the land on which the trees are to be planted, and responsibility for planting the trees.""",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Technology Transfer","Yes.<br>""Rainwater harvesting in dams along with artificial injection technology is being used to enhance available water resources.""<br>""Public infrastructure is being continuously upgraded and enhanced to harness benefits of new technologies and practices. Fog detection and warning systems are in use, and efforts are being made to incorporate climate-induced hazards in road safety plans.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Technology Transfer","Yes.<br>""Technical support for the downscaling of global and regional climate impact and vulnerability assessments to the national and local scale in a way that can support local and sector planning including the identification of practical adaptation measures.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Technology Transfer","Yes.<br>""Technologies and necessary services aimed at reducing or avoiding severe alterations, losses and damages, triggered by hazards associated with climate change in populations, livelihoods, ecosystems, basins, territories, infrastructure, goods and services""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
